field,geography,year,dataType,nMissing,fractionMissing,isMedian,isTotal,isHousehold,isFamily
Area_Code_and_Description, Region, rea_, UTF8String,0,0, false, false, false, false
Code, Region, ode, UTF8String,0,0, false, false, false, false
Description, Region, escr, UTF8String,0,0, false, false, false, false
x2001_Census_census_usually_resident_population_count_1_, Region,2001, Int64,0,0, false, false, false, false
x2006_Census_census_usually_resident_population_count_1_, Region,2006, Int64,0,0, false, false, false, false
x2013_Census_census_usually_resident_population_count_1_, Region,2013, Int64,0,0, false, false, false, false
x2001_Census_census_night_population_count_2_, Region,2001, Int64,0,0, false, false, false, false
x2006_Census_census_night_population_count_2_, Region,2006, Int64,0,0, false, false, false, false
x2013_Census_census_night_population_count_2_, Region,2013, Int64,0,0, false, false, false, false
x2001_Census_sex_for_the_census_usually_resident_population_count_1_Male, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_sex_for_the_census_usually_resident_population_count_1_Female, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_sex_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2006_Census_sex_for_the_census_usually_resident_population_count_1_Male, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_sex_for_the_census_usually_resident_population_count_1_Female, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_sex_for_the_census_usually_resident_population_count_1_Total_people, Region,2006, Int64,0,0, false, true, false, false
x2013_Census_sex_for_the_census_usually_resident_population_count_1_Male, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_sex_for_the_census_usually_resident_population_count_1_Female, Region,2013, Int64,0,0, false, false, false, false
x2013_Census_sex_for_the_census_usually_resident_population_count_1_Total_people, Region,2013, Int64,0,0, false, true, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_0_4_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_5_9_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_10_14_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_15_19_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_20_24_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_25_29_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_30_34_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_35_39_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_40_44_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_45_49_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_50_54_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_55_59_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_60_64_Years, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_65_years_and_Over, Region,2001, Int64,0,0, false, false, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Total_people, Region,2001, Int64,0,0, false, true, false, false
x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_Median_Age_3_, Region,2001, Float64,0,0, true, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_0_4_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_5_9_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_10_14_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_15_19_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_20_24_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_25_29_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_30_34_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_35_39_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_40_44_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_45_49_Years, Region,2006, Int64,0,0, false, false, false, false
x2006_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_50_54_Years, Region,2006, Int64,0,0, false, false, false, false
