index,field,geography,year,dataType,nMissing,fractionMissing,isMedian,isTotal,isHousehold,isFamily,min,mean,max
1,Area_Code_and_Description,Region,rea_,UTF8String,0,0,false,false,false,false,N/A,N/A,N/A
2,Code,Region,ode,UTF8String,0,0,false,false,false,false,N/A,N/A,N/A
3,Description,Region,escr,UTF8String,0,0,false,false,false,false,N/A,N/A,N/A
4,x2001_Census_census_usually_resident_population_count_1_,Region,2001,Int64,0,0,false,false,false,false,726,219840.529411765,1160271
5,x2006_Census_census_usually_resident_population_count_1_,Region,2006,Int64,0,0,false,false,false,false,618,236937.882352941,1304961
6,x2013_Census_census_usually_resident_population_count_1_,Region,2013,Int64,0,0,false,false,false,false,600,249532.411764706,1415550
7,x2001_Census_census_night_population_count_2_,Region,2001,Int64,0,0,false,false,false,false,816,224750.294117647,1174809
8,x2006_Census_census_night_population_count_2_,Region,2006,Int64,0,0,false,false,false,false,660,243722.647058824,1322922
9,x2013_Census_census_night_population_count_2_,Region,2013,Int64,0,0,false,false,false,false,600,256070.647058824,1438446
10,x2001_Census_sex_for_the_census_usually_resident_population_count_1_Male,Region,2001,Int64,0,0,false,false,false,false,411,107235.705882353,563784
11,x2001_Census_sex_for_the_census_usually_resident_population_count_1_Female,Region,2001,Int64,0,0,false,false,false,false,315,112604.470588235,596487
12,x2001_Census_sex_for_the_census_usually_resident_population_count_1_Total_people,Region,2001,Int64,0,0,false,true,false,false,723,219839.470588235,1160271
13,x2006_Census_sex_for_the_census_usually_resident_population_count_1_Male,Region,2006,Int64,0,0,false,false,false,false,348,115625.117647059,635454
14,x2006_Census_sex_for_the_census_usually_resident_population_count_1_Female,Region,2006,Int64,0,0,false,false,false,false,270,121313.470588235,669504
15,x2006_Census_sex_for_the_census_usually_resident_population_count_1_Total_people,Region,2006,Int64,0,0,false,true,false,false,621,236938.235294118,1304958
16,x2013_Census_sex_for_the_census_usually_resident_population_count_1_Male,Region,2013,Int64,0,0,false,false,false,false,315,121412.647058824,687492
17,x2013_Census_sex_for_the_census_usually_resident_population_count_1_Female,Region,2013,Int64,0,0,false,false,false,false,285,128119.588235294,728055
18,x2013_Census_sex_for_the_census_usually_resident_population_count_1_Total_people,Region,2013,Int64,0,0,false,true,false,false,603,249532.588235294,1415550
19,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_0_4_Years,Region,2001,Int64,0,0,false,false,false,false,60,15929.1176470588,88464
20,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_5_9_Years,Region,2001,Int64,0,0,false,false,false,false,63,16835.4705882353,89394
21,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_10_14_Years,Region,2001,Int64,0,0,false,false,false,false,48,17102.1176470588,88341
22,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_15_19_Years,Region,2001,Int64,0,0,false,false,false,false,42,15604.9411764706,83634
23,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_20_24_Years,Region,2001,Int64,0,0,false,false,false,false,36,14105.1176470588,82191
24,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_25_29_Years,Region,2001,Int64,0,0,false,false,false,false,57,14523.3529411765,85188
25,x2001_Census_age_in_five_year_groups_for_the_census_usually_resident_population_count_1_30_34_Years,Region,2001,Int64,0,0,false,false,false,false,78,16428.1764705882,95970
